file,class,method,variable,usage
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],textForeground,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],fontFamily,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],menuBackground,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],fontSize,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],textBackground,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],PYTHON_KEYWORDS,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],SLASH_COMMENT,3
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],JS_KEYWORDS,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],CPP_KEYWORDS,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],JAVA_KEYWORDS,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],HASH_COMMENT,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,infoLabel,3
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,Frame_WIDTH,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,Frame_HEIGHT,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,textArea,16
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,highlightAllMatches/1[java.lang.String],textArea,2
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,"applySyntaxHighlighting/2[javax.swing.JTextPane,nz.ac.massey.cs251.Main.LanguageProfile]",WORD_PATTERN,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,"applySyntaxHighlighting/2[javax.swing.JTextPane,nz.ac.massey.cs251.Main.LanguageProfile]",STRING_PATTERN,1
