file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/StartScreen.java,nz.ac.massey.cs251.StartScreen,StartScreen/0,true,9,0,0,0,0,1,14,22,0,3,0,14,0,0,0,0,0,0,3,12,2,0,1,0,0,1,23,1,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,parseColor/1[java.lang.String],false,39,0,1,1,0,1,3,7,1,4,1,3,0,0,0,0,0,0,1,3,4,0,0,0,0,0,7,2,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],true,18,2,1,0,1,2,4,17,0,6,1,4,1,1,0,0,1,0,9,0,11,0,1,0,0,0,30,1,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],false,408,1,2,1,1,7,2,8,5,1,1,2,0,0,0,0,0,0,6,0,1,0,1,0,0,0,8,8,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,main/1[java.lang.String[]],false,464,1,1,0,1,2,3,9,0,0,1,3,0,0,0,0,1,0,1,0,0,0,1,0,0,1,6,9,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,scaledIcon/1[java.lang.String],false,330,0,1,1,0,1,2,5,1,2,1,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,5,2,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,true,32,6,6,0,6,16,68,225,0,68,0,68,4,2,2,6,6,1,77,12,59,9,6,1,0,13,132,1,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,searchText/0,false,337,1,2,1,1,3,3,5,1,1,0,3,1,1,0,1,0,0,2,0,1,0,1,0,0,0,7,2,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,highlightAllMatches/1[java.lang.String],false,344,0,1,1,0,4,8,21,0,5,1,8,0,0,1,2,1,1,2,4,7,2,2,0,0,0,17,2,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,"applySyntaxHighlighting/2[javax.swing.JTextPane,nz.ac.massey.cs251.Main.LanguageProfile]",false,419,1,3,1,2,7,16,37,2,9,2,16,0,0,3,1,1,0,0,11,9,3,2,0,0,0,28,8,0,false
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main$Anonymous1,"print/3[java.awt.Graphics,java.awt.print.PageFormat,int]",false,266,0,0,0,0,2,4,9,2,1,3,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,1,0,false
