file,class,method,variable,usage
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/StartScreen.java,nz.ac.massey.cs251.StartScreen,StartScreen/0,startButton,6
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/StartScreen.java,nz.ac.massey.cs251.StartScreen,StartScreen/0,e,0
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/StartScreen.java,nz.ac.massey.cs251.StartScreen,StartScreen/0,background,3
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,parseColor/1[java.lang.String],r,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,parseColor/1[java.lang.String],b,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,parseColor/1[java.lang.String],g,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,parseColor/1[java.lang.String],parts,3
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,parseColor/1[java.lang.String],rgb,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],input,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],editor,2
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],data,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],e,0
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],filePath,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],colors,3
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],yaml,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/ConfigLoader.java,nz.ac.massey.cs251.ConfigLoader,ConfigLoader/1[java.lang.String],font,2
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],filename,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,profileForFile/1[java.lang.String],lower,6
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,main/1[java.lang.String[]],args,0
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,main/1[java.lang.String[]],e,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,scaledIcon/1[java.lang.String],filename,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,scaledIcon/1[java.lang.String],scaled,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,scaledIcon/1[java.lang.String],rawIcon,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,saveItem,2
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,fileName,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,select,2
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,cut,3
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,searchMenu,5
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,reader,1
/Users/trisha/Desktop/251-Assignment1/251-Assignment1-2026-Shuairan-Trisha/src/main/java/nz/ac/massey/cs251/Main.java,nz.ac.massey.cs251.Main,Main/0,line,4
